heart	age.log	weight.log	lung.log	liver.log	spleen.log	stomach.log	leftkid.log	rightkid.log	kidney.log	intestines.log
127.7	3.49650756146648	3.31418600467253	6.40522845803084	6.75110146893676	3.96081316959758	5.82363743646448	4.68120487226409	4.67749084756772	5.37063802812766	6.78558764500793
93.2	2.30258509299405	3.19047635034650	6.07764224334903	6.07626514880045	3.19867311755068	4.79081953287472	4.13995507347415	4.15731936138349	4.84418708645859	6.56723485951435
84.5	2.30258509299405	3.09104245335832	5.94017125272043	6.27287700654617	3.44361809754611	5.47058858748849	3.97968165390196	4.06044301054642	4.71849887129509	6.63987583382654
85.4	2.30258509299405	2.91777073208428	6.20233306754658	6.29526600143965	3.42751468997953	5.26320818943447	4.18965474202643	4.29319542096727	4.93447393313069	6.74476565048767
182	2.484906649788	3.33220451017520	NA	6.85540879860993	3.82864139648910	5.99146454710798	NA	NA	5.47227067367148	NA
130	2.89037175789616	3.16968558067743	6.30991827822652	7.00306545878646	3.93182563272433	6.09402113543307	4.98292145552874	4.99247132346858	5.68017260901707	7.09837563859079
98.8	2.94443897916644	2.91777073208428	6.1527326947041	6.4412654690362	3.68887945411394	5.58312029824897	4.52936847257181	4.48300255201388	5.19849703126583	6.86589107488344
117.3	3.13549421592915	2.89037175789616	6.38435087300929	6.45031243178126	3.36384159511839	5.63764267215166	4.45550941143368	4.45434729625351	5.14749447681345	6.75156919579281
180	3.43398720448515	3.52636052461616	6.40522845803084	6.94697599213542	3.80666248977032	6.05208916892442	4.8283137373023	4.78749174278205	5.50125821054473	7.33953769540767
150.4	3.49650756146648	3.34990408727460	6.68448671985478	6.95377971729342	3.72086249996699	6.16583793405276	4.82430571590476	4.8194747886351	5.51342874616498	7.40488757561612
145.5	3.78418963391826	3.57794789340665	6.9027427371586	7.32974968904151	4.49980967033027	6.16457716481663	5.17048399503815	5.05177723742743	5.80513496891649	7.78530518253986
140	3.82864139648910	3.41114771251532	6.66568371778241	7.09837563859079	4.09767235231478	5.88693701775405	4.84654650556336	4.65300751540225	5.44673737166631	7.20414929203594
168.1	3.82864139648910	3.49650756146648	6.8134445995109	7.08590146436561	4.49200148788245	5.9529835602897	4.81543111147129	4.829912458666	5.51745289646471	7.28619171470238
205	3.91202300542815	3.73766961828337	7.01660968389422	7.25488481007734	4.38202663467388	6.3279367837292	4.97673374242057	5.07517381523383	5.72031177660741	7.46450983463653
205	3.91202300542815	3.62434093297637	7.04106164629036	7.00288362407371	4.05178494780330	6.29710931993394	4.96494033483413	4.87596039076965	5.61312810638807	7.22402480828583
320.9	4.0943445622221	4.00733318523247	7.28961052145117	7.71868549519847	4.56954300834494	6.86880652884356	5.42274494492309	5.30181125580229	6.05678401322862	7.9391588179568
255	4.07753744390572	3.92197333628131	7.13089883029635	7.65681009148038	4.90527477843843	6.74523634948436	5.29831736654804	5.37063802812766	6.0282785202307	7.8917046593301
370	4.18965474202643	4.05178494780330	7.36518012602101	7.69393732550927	4.9416424226093	6.5792512120101	5.39362754635236	5.4380793089232	6.10924758276437	7.82003798945875
465	4.21950770517611	4.21212759787848	7.60090245954208	8.00302866638473	5.85793315448346	6.76272950693188	5.54126354515843	5.61677109766657	6.27287700654617	7.96554557313
332.8	4.21950770517611	3.97968165390196	7.29600640635561	7.66115053988744	5.00796506554038	6.59304453414244	5.42758970225218	5.43503118986386	6.1246833908942	7.82284529027977
449	4.27666611901606	4.29045944114839	NA	7.90654723236804	4.84418708645859	6.95081476844258	NA	NA	6.40522845803084	NA
282.5	4.29045944114839	3.9982007016692	7.1066061377273	7.9355873855892	4.91632461462501	6.82328612235569	5.62726133674846	5.57139328661046	6.29341927884648	7.83002808253384
355	4.29045944114839	4.22683374526818	7.4899708988348	8.26230094178745	4.97673374242057	7.23705902612474	5.66988092298052	5.81413053182507	6.4377516497364	8.17046857833067
310	4.38202663467388	4.30406509320417	7.31986492980897	8.0487882835342	4.77322377098434	6.89345349427128	5.65248918026865	5.7037824746562	6.37161184723186	8.13446757027756
532	4.43081679884331	4.21950770517611	NA	7.98514393119862	5.07517381523383	7.0975488506148	NA	NA	6.42971947803914	NA
667	4.56434819146784	4.57471097850338	NA	8.35255436947459	5.36129216570943	7.34083555412327	NA	NA	6.62936325343745	NA
440	4.66343909411207	4.61512051684126	7.91388671485608	8.18311807939475	5.72031177660741	7.13886699994552	5.90916930438115	5.97049624067179	6.63331843328038	8.18032087477368
1012	4.68213122712422	4.85203026391962	NA	8.55101473989175	5.64897423816121	7.45818615734049	NA	NA	6.78897174299217	NA
505	4.77068462446567	4.55387689160054	7.77485576666552	8.22147894726719	6.05208916892442	7.1268908088988	5.95324333428778	5.99146454710798	6.66568371778241	8.1789193328484
1075	4.78749174278205	5.18738580584075	NA	9.02509454366498	NA	7.8240460108563	NA	NA	7.25134498337221	NA
