AffyID	Symbol	Chromosome	Description
205260_s_at	ACYP1	14	acylphosphatase 1, erythrocyte (common) type
206833_s_at	ACYP2	2	acylphosphatase 2, muscle type
207820_at	ADH1A	4	alcohol dehydrogenase 1A (class I), alpha polypeptide
209612_s_at	ADH1B	4	alcohol dehydrogenase 1B (class I), beta polypeptide
209613_s_at	ADH1B	4	alcohol dehydrogenase 1B (class I), beta polypeptide
209614_at	ADH1B	4	alcohol dehydrogenase 1B (class I), beta polypeptide
206262_at	ADH1C	4	alcohol dehydrogenase 1C (class I), gamma polypeptide
208847_s_at	ADH5	4	alcohol dehydrogenase 5 (class III), chi polypeptide
208848_at	ADH5	4	alcohol dehydrogenase 5 (class III), chi polypeptide
207544_s_at	ADH6	4	alcohol dehydrogenase 6 (class V)
214261_s_at	ADH6	4	alcohol dehydrogenase 6 (class V)
210505_at	ADH7	4	alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide
201425_at	ALDH2	12	aldehyde dehydrogenase 2 family (mitochondrial)
205623_at	ALDH3A1	17	aldehyde dehydrogenase 3 family, memberA1
209645_s_at	ALDH1B1	9	aldehyde dehydrogenase 1 family, member B1
209646_x_at	ALDH1B1	9	aldehyde dehydrogenase 1 family, member B1
203180_at	ALDH1A3	15	aldehyde dehydrogenase 1 family, member A3
205640_at	ALDH3B1	11	aldehyde dehydrogenase 3 family, member B1
211004_s_at	ALDH3B1	11	aldehyde dehydrogenase 3 family, member B1
204941_s_at	ALDH3B2	11	aldehyde dehydrogenase 3 family, member B2
204942_s_at	ALDH3B2	11	aldehyde dehydrogenase 3 family, member B2
201612_at	ALDH9A1	1	aldehyde dehydrogenase 9 family, member A1
202053_s_at	ALDH3A2	17	aldehyde dehydrogenase 3 family, member A2
202054_s_at	ALDH3A2	17	aldehyde dehydrogenase 3 family, member A2
210544_s_at	ALDH3A2	17	aldehyde dehydrogenase 3 family, member A2
200966_x_at	ALDOA	16	aldolase A, fructose-bisphosphate
214687_x_at	ALDOA	16	aldolase A, fructose-bisphosphate
204704_s_at	ALDOB	9	aldolase B, fructose-bisphosphate
204705_x_at	ALDOB	9	aldolase B, fructose-bisphosphate
211357_s_at	ALDOB	9	aldolase B, fructose-bisphosphate
214423_x_at	ALDOB	9	aldolase B, fructose-bisphosphate
214424_s_at	ALDOB	9	aldolase B, fructose-bisphosphate
216600_x_at	ALDOB	9	aldolase B, fructose-bisphosphate
217238_s_at	ALDOB	9	aldolase B, fructose-bisphosphate
202022_at	ALDOC	17	aldolase C, fructose-bisphosphate
208950_s_at	ALDH7A1	5	aldehyde dehydrogenase 7 family, member A1
208951_at	ALDH7A1	5	aldehyde dehydrogenase 7 family, member A1
213591_at	ALDH7A1	5	aldehyde dehydrogenase 7 family, member A1
203502_at	BPGM	7	2,3-bisphosphoglycerate mutase
211150_s_at	DLAT	11	dihydrolipoamide S-acetyltransferase
212568_s_at	DLAT	11	dihydrolipoamide S-acetyltransferase
213149_at	DLAT	11	dihydrolipoamide S-acetyltransferase
209095_at	DLD	7	dihydrolipoamide dehydrogenase
