alpha0	alpha7	alpha14	alpha21	alpha28	alpha35	alpha42	alpha49	alpha56	alpha63	alpha70	alpha77	alpha84	alpha91	alpha98	alpha105	alpha112	alpha119
YLR407W	0.15	0.06	-0.47	0.06	0.03	0.27	0.14	0.2	-0.04	-0.05	-0.3	-0.07	0.23	-0.14	-0.11	0.14	0.01	-0.11
YJR006W	-0.48	-0.2	0.22	0.54	0.13	0.38	-0.2	-0.09	-0.34	0.14	0	0.29	0.44	-0.09	0	0.03	-0.41	-0.37
YGR264C	0.37	-0.36	-0.3	-0.36	-0.01	-0.23	0.11	-0.24	0.16	-0.1	0.18	0.08	0.18	-0.03	0.27	0.08	0.1	0.11
YIL122W	0.4	NA	-0.09	-0.18	NA	0.39	-0.4	0.17	0.26	0.21	-0.2	-0.02	0.02	-0.36	-0.66	-0.2	0.19	0.45
YPL064C	0.26	0.85	-0.2	-0.01	-0.39	-0.09	0.21	0.33	0.01	0.17	-0.36	0.05	0.08	NA	-0.76	-0.09	-0.03	-0.03
YLR402W	0.11	0.25	0.11	-0.26	0.07	0.14	0.12	-0.01	-0.01	-0.18	-0.28	0.04	-0.13	0.03	-0.28	-0.04	0.19	0.12
YHR212C	-0.27	0.17	-0.04	0.39	-0.09	0.19	-0.37	-0.01	-0.07	0.13	-0.24	0.23	0.06	-0.02	-0.2	0.28	-0.01	-0.14
YCL040W	-0.14	1.34	1.69	1.07	0.47	-0.35	-0.38	-0.96	-0.68	-0.27	-0.12	0.07	0.16	-0.72	-0.24	-0.31	-0.16	-0.46
YJR063W	0.05	-0.64	-0.76	-0.27	-0.27	0.05	0.32	-0.04	0.39	0.69	0.24	0.17	0.22	-0.3	0.01	0.05	-0.08	0.16
YOL083W	0.16	0.17	0.59	0.41	-0.09	0.34	0.1	0.13	-0.14	-0.28	-0.19	0.01	-0.12	-0.5	-0.28	-0.26	-0.4	0.34
YOR237W	-0.04	-0.59	-0.08	0.11	0.34	0.6	0.4	0.1	-0.13	-0.2	-0.13	-0.33	-0.07	-0.2	0.2	-0.1	-0.05	0.2
YPL087W	0.54	NA	0.73	0.5	0.06	0.09	0.25	0.09	-0.05	-0.28	-0.26	-0.19	0.12	-0.56	-0.28	-0.4	-0.17	-0.21
YPL203W	0.05	0.08	0.47	-0.05	0.1	0.32	0.03	-0.19	-0.19	-0.12	-0.14	-0.41	-0.27	-0.17	0.14	-0.1	0.35	0.1
YER117W	-0.26	0.02	-0.28	-0.02	-0.44	0.1	-0.38	0.17	0.11	0.31	0.15	-0.12	0.09	-0.01	0.12	0.15	0.12	0.15
YDR071C	0.07	0.25	-0.02	0.01	-0.19	-0.14	-0.5	0.16	0.29	-0.22	0.27	-0.14	0.15	-0.29	0.35	-0.02	0.04	-0.06
YJL190C	-0.08	-0.02	-0.31	0.04	-0.29	0.11	-0.22	0.05	0.07	0.27	0.11	-0.24	0.04	-0.05	0.28	0.01	0.17	0.07
YAL005C	-0.05	-0.53	-0.47	-0.06	0.11	-0.07	0.25	0.46	0.12	0.49	-0.42	0.28	-0.3	-0.18	-0.3	0.68	-0.24	0.22
YJL171C	0.19	-0.1	0.55	-0.14	0.27	0.01	0.57	0.15	0.11	-0.6	-0.3	-0.38	-0.23	-0.5	0.27	-0.05	0.4	-0.21
YOR202W	0.1	0.48	0.86	0.26	0.14	-0.25	0.18	-0.08	-0.05	-0.05	-0.18	-0.64	-0.1	-0.45	-0.04	-0.3	-0.01	0.14
YOR091W	-0.06	-0.86	-0.44	-0.12	-0.06	0.5	0.21	0.38	0.16	0.18	0.08	-0.06	-0.17	-0.22	0	-0.1	0.39	0.21
YBR237W	-0.3	0.37	-0.11	0.04	-0.47	-0.49	0.03	0.24	0.04	0.51	-0.36	-0.07	0.07	-0.02	-0.04	0.46	0.03	0.09
YOR234C	0.11	-0.1	-0.13	-0.06	-0.21	-0.21	0.15	0.07	0.06	0.18	-0.15	-0.25	0.15	-0.23	0.3	-0.33	0.32	0.31
YLR428C	-0.01	0.22	-0.06	-0.07	-0.22	0.24	-0.03	0.06	-0.06	0.22	-0.14	0.14	-0.09	-0.14	-0.26	0.06	0.13	0
YOR245C	0.01	-0.03	0.2	0.56	-0.02	0.21	0.18	-0.08	-0.05	-0.16	0.05	-0.14	-0.03	-0.14	-0.02	-0.05	-0.1	-0.39
YLR026C	0	0.12	-0.27	-0.02	-0.19	0.26	0.1	0	0.2	0.36	-0.4	0.09	-0.13	-0.45	-0.19	0.12	0.1	0.3
YLR408C	-0.1	0.31	0.23	0.02	-0.26	0.33	0.06	0.2	-0.05	0.47	-0.46	0.01	-0.03	-0.07	-0.66	-0.16	0.18	-0.03
YJL198W	0.16	-0.58	-0.55	-0.63	0.23	0.03	0.45	-0.02	0.2	0.29	0.03	-0.11	0.01	0.01	0.08	0.2	0.11	0.08
YDL032W	-0.41	NA	-0.22	-0.28	-0.04	0.28	-0.24	0.1	0.41	-0.04	0.16	0.03	0.14	-0.05	-0.22	0.26	-0.04	0.16
YJR086W	0.02	0.27	-0.41	0.04	-0.21	0.3	-0.06	0.07	0.01	0.35	-0.11	-0.11	-0.08	-0.23	-0.15	0.18	0.19	-0.06
YML122C	-0.46	-0.05	-0.06	-0.28	-0.03	0.36	0.19	-0.03	0.06	0.36	-0.06	0.44	0.01	-0.06	-0.44	-0.05	0.06	0.06
YBR044C	-0.17	-0.41	-0.03	-0.76	-0.13	-0.19	0.06	0.84	0.04	0.42	-0.17	-0.08	-0.29	NA	NA	0.69	0.16	NA
YOL025W	0.15	0.41	0.08	-0.23	-0.34	0.2	-0.09	0.17	-0.07	0.4	-0.23	-0.09	0	0.1	-0.67	-0.04	0.05	0.21
YMR098C	-0.12	0.17	-0.12	-0.08	0.11	0.03	0.98	-0.03	-0.03	0.01	-0.23	0.34	0.22	-0.17	-0.77	0	-0.23	-0.08
YCR026C	-0.04	-0.41	-0.02	0.15	0.33	0.24	0.15	0.04	-0.16	-0.23	-0.18	-0.09	0.06	-0.15	0.27	0.02	0.14	-0.13
